Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.002,45.05006
0.0022,43.45778
0.0024,41.37897
0.0026,38.7989
0.0028,36.16174
0.003,33.41429
0.0032,30.49006
0.0034,27.66378
0.0036,25.21017
0.0038,23.21812
0.004,21.47764
0.0042,19.94187
0.0044,18.57652
0.0046,17.37719
0.0048,16.3464
0.005,15.45359
0.0052,14.62283
0.0054,13.85013
0.0056,13.11579
0.0058,12.41752
0.006,11.76553
0.0062,11.15456
0.0064,10.56028
0.0066,9.98583

Specimen 28
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.29793
0.0004,15.32664
0.0006,21.93768
0.0008,28.08202
0.001,33.47447
0.0012,37.82607
0.0014,41.02197
0.0016,42.29364
0.0018,42.19362
0.002,41.78067
0.0022,39.99468
0.0024,37.07073
0.0026,33.56815
0.0028,30.0463
0.003,27.06452
0.0032,24.62115
0.0034,22.40127
0.0036,20.86074
0.0038,19.78868
0.004,18.82589
0.0042,17.88632
0.0044,17.08585
0.0046,16.44205
0.0048,15.86125
0.005,15.30991
0.0052,14.91183
0.0054,14.61226
0.0056,14.28995
0.0058,13.9055
0.006,13.29474
0.0062,12.81188
0.0064,12.52963
0.0066,12.25551

Specimen 29
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,7.90687
0.0004,14.92646
0.0006,21.74188
0.0008,28.11586
0.001,33.99617
0.0012,39.28671
0.0014,43.71007
0.0016,47.02536
0.0018,48.47919
0.002,48.72042
0.0022,47.94122
0.0024,45.54926
0.0026,42.17105
0.0028,38.44514
0.003,35.01005
0.0032,31.47131
0.0034,27.46675
0.0036,23.71565
0.0038,20.93733
0.004,19.54823
0.0042,18.67043
0.0044,17.76876
0.0046,16.85923
0.0048,16.04689
0.005,15.32483
0.0052,14.699
0.0054,14.1529
0.0056,13.62028
0.0058,13.09224
0.006,12.51162
0.0062,11.89199
0.0064,11.22303
0.0066,10.5564

Specimen 30
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0,0
0.0002,8.73484
0.0004,16.24535
0.0006,23.09017
0.0008,29.27162
0.001,34.29719
0.0012,37.44593
0.0014,38.2321
0.0016,37.93616
0.0018,37.37982
0.002,36.12708
0.0022,34.5718
0.0024,32.93849
0.0026,31.04991
0.0028,29.03997
0.003,27.0354
0.0032,24.87552
0.0034,22.71141
0.0036,20.86849
0.0038,19.42361
0.004,18.20245
0.0042,17.18102
0.0044,16.32335
0.0046,15.53825
0.0048,14.81543
0.005,14.14329
0.0052,13.51207
0.0054,12.98925
0.0056,12.55661
0.0058,12.1619
0.006,11.80995
0.0062,11.52009
0.0064,11.24848
0.0066,10.97498

Specimen 31
The tested complete stress-strain curves
of concrete under uniaxial compression
